,target
2023-06-28 17:30:24,12.1
2023-06-28 17:31:24,15.6
2023-06-28 17:32:24,29.4
2023-06-28 17:33:24,30.7
2023-06-28 17:34:24,24.7
2023-06-28 17:35:24,22.0
2023-06-28 17:36:24,17.5
2023-06-28 17:37:24,20.0
2023-06-28 17:38:24,22.4
2023-06-28 17:39:24,21.5
2023-06-28 17:40:24,19.0
2023-06-28 17:41:24,22.8
2023-06-28 17:42:24,13.3
2023-06-28 17:43:24,18.0
2023-06-28 17:44:24,18.1
2023-06-28 17:45:24,29.5
2023-06-28 17:46:24,18.1
2023-06-28 17:47:24,16.7
2023-06-28 17:48:24,19.5
2023-06-28 17:49:24,14.3
2023-06-28 17:50:24,17.2
2023-06-28 17:51:24,28.3
2023-06-28 17:52:24,25.2
2023-06-28 17:53:24,24.7
2023-06-28 17:54:24,17.1
2023-06-28 17:55:24,19.0
2023-06-28 17:56:24,20.4
2023-06-28 17:57:24,1.2
2023-06-28 17:58:24,32.8
2023-06-28 17:59:24,31.5
2023-06-28 18:00:24,31.7
2023-06-28 18:01:24,30.8
2023-06-28 18:02:24,25.0
2023-06-28 18:03:24,33.0
2023-06-28 18:04:24,39.5
2023-06-28 18:05:24,33.7
2023-06-28 18:06:24,31.8
2023-06-28 18:07:24,33.8
2023-06-28 18:08:24,33.5
2023-06-28 18:09:24,30.2
2023-06-28 18:10:24,32.2
2023-06-28 18:11:24,29.5
2023-06-28 18:12:24,30.5
2023-06-28 18:13:24,39.1
2023-06-28 18:14:24,35.7
2023-06-28 18:15:24,33.1
2023-06-28 18:16:24,37.3
2023-06-28 18:17:24,32.6
2023-06-28 18:18:24,32.8
2023-06-28 18:19:24,34.2
2023-06-28 18:20:24,33.7
2023-06-28 18:21:24,31.5
2023-06-28 18:22:24,41.2
2023-06-28 18:23:24,32.2
2023-06-28 18:24:24,35.1
2023-06-28 18:25:24,30.9
2023-06-28 18:26:24,34.9
2023-06-28 18:27:24,23.3
2023-06-28 18:28:24,34.8
2023-06-28 18:29:24,31.0
2023-06-28 18:30:24,32.5
2023-06-28 18:31:24,32.4
2023-06-28 18:32:24,30.1
2023-06-28 18:33:24,31.1
2023-06-28 18:34:24,29.0
2023-06-28 18:35:24,34.9
2023-06-28 18:36:24,31.2
2023-06-28 18:37:24,33.8
2023-06-28 18:38:24,32.9
2023-06-28 18:39:24,28.4
2023-06-28 18:40:24,31.6
2023-06-28 18:41:24,33.1
2023-06-28 18:42:24,31.3
2023-06-28 18:43:24,37.7
2023-06-28 18:44:24,34.3
2023-06-28 18:45:24,35.5
2023-06-28 18:46:24,27.7
2023-06-28 18:47:24,28.0
2023-06-28 18:48:24,40.3
2023-06-28 18:49:24,37.3
2023-06-28 18:50:24,31.5
2023-06-28 18:51:24,33.6
2023-06-28 18:52:24,38.7
2023-06-28 18:53:24,34.6
2023-06-28 18:54:24,34.8
2023-06-28 18:55:24,34.7
2023-06-28 18:56:24,0.1
2023-06-28 18:57:24,49.2
2023-06-28 18:58:24,46.4
2023-06-28 18:59:24,55.0
2023-06-28 19:00:24,50.3
2023-06-28 19:01:24,47.9
2023-06-28 19:02:24,45.9
2023-06-28 19:03:24,49.2
2023-06-28 19:04:24,51.8
2023-06-28 19:05:24,49.9
2023-06-28 19:06:24,48.7
2023-06-28 19:07:24,49.3
2023-06-28 19:08:24,51.4
2023-06-28 19:09:24,46.9
2023-06-28 19:10:24,49.1
2023-06-28 19:11:24,47.6
2023-06-28 19:12:24,47.1
2023-06-28 19:13:24,46.1
2023-06-28 19:14:24,49.7
2023-06-28 19:15:24,48.9
2023-06-28 19:16:24,46.4
2023-06-28 19:17:24,47.2
2023-06-28 19:18:24,45.1
2023-06-28 19:19:24,52.1
2023-06-28 19:20:24,49.6
2023-06-28 19:21:24,48.8
2023-06-28 19:22:24,48.3
2023-06-28 19:23:24,49.6
2023-06-28 19:24:24,51.4
2023-06-28 19:25:24,46.9
2023-06-28 19:26:24,53.4
2023-06-28 19:27:24,47.2
2023-06-28 19:28:24,50.4
2023-06-28 19:29:24,50.3
2023-06-28 19:30:24,50.0
2023-06-28 19:31:24,53.4
2023-06-28 19:32:24,48.4
2023-06-28 19:33:24,55.1
2023-06-28 19:34:24,48.6
2023-06-28 19:35:24,47.8
2023-06-28 19:36:24,47.4
2023-06-28 19:37:24,50.6
2023-06-28 19:38:24,40.6
2023-06-28 19:39:24,47.4
2023-06-28 19:40:24,51.4
2023-06-28 19:41:24,46.1
2023-06-28 19:42:24,49.1
2023-06-28 19:43:24,49.2
2023-06-28 19:44:24,50.4
2023-06-28 19:45:24,49.4
2023-06-28 19:46:24,46.2
2023-06-28 19:47:24,44.1
2023-06-28 19:48:24,49.1
2023-06-28 19:49:24,48.5
2023-06-28 19:50:24,50.9
2023-06-28 19:51:24,47.8
2023-06-28 19:52:24,53.9
2023-06-28 19:53:24,53.6
2023-06-28 19:54:24,44.4
2023-06-28 19:55:24,0.0
2023-06-28 19:56:24,54.7
2023-06-28 19:57:24,52.1
2023-06-28 19:58:24,55.7
2023-06-28 19:59:24,51.2
2023-06-28 20:00:24,53.7
2023-06-28 20:01:24,55.6
2023-06-28 20:02:24,56.6
2023-06-28 20:03:24,54.4
2023-06-28 20:04:24,53.1
2023-06-28 20:05:24,51.6
2023-06-28 20:06:24,51.4
2023-06-28 20:07:24,55.0
2023-06-28 20:08:24,56.7
2023-06-28 20:09:24,55.7
2023-06-28 20:10:24,54.5
2023-06-28 20:11:24,55.4
2023-06-28 20:12:24,58.4
2023-06-28 20:13:24,52.4
2023-06-28 20:14:24,53.4
2023-06-28 20:15:24,60.8
2023-06-28 20:16:24,61.4
2023-06-28 20:17:24,56.7
2023-06-28 20:18:24,54.2
2023-06-28 20:19:24,55.6
2023-06-28 20:20:24,52.1
2023-06-28 20:21:24,54.2
2023-06-28 20:22:24,52.2
2023-06-28 20:23:24,56.4
2023-06-28 20:24:24,55.2
2023-06-28 20:25:24,50.9
2023-06-28 20:26:24,58.5
2023-06-28 20:27:24,53.6
2023-06-28 20:28:24,53.4
2023-06-28 20:29:24,55.1
2023-06-28 20:30:24,56.1
2023-06-28 20:31:24,52.2
2023-06-28 20:32:24,54.8
2023-06-28 20:33:24,56.6
2023-06-28 20:34:24,54.2
2023-06-28 20:35:24,57.2
2023-06-28 20:36:24,52.6
2023-06-28 20:37:24,54.1
2023-06-28 20:38:24,52.6
2023-06-28 20:39:24,58.1
2023-06-28 20:40:24,56.6
2023-06-28 20:41:24,54.6
2023-06-28 20:42:24,56.1
2023-06-28 20:43:24,56.0
2023-06-28 20:44:24,53.8
2023-06-28 20:45:24,56.3
2023-06-28 20:46:24,56.0
2023-06-28 20:47:24,53.2
2023-06-28 20:48:24,55.4
2023-06-28 20:49:24,54.7
2023-06-28 20:50:24,55.1
2023-06-28 20:51:24,54.0
2023-06-28 20:52:24,55.6
2023-06-28 20:53:24,57.1
2023-06-28 20:54:24,0.0
2023-06-28 20:55:24,16.5
2023-06-28 20:56:24,18.4
2023-06-28 20:57:24,19.6
2023-06-28 20:58:24,20.7
2023-06-28 20:59:24,17.4
2023-06-28 21:00:24,12.7
2023-06-28 21:01:24,11.6
2023-06-28 21:02:24,11.0
2023-06-28 21:03:24,17.7
2023-06-28 21:04:24,20.6
2023-06-28 21:05:24,16.9
2023-06-28 21:06:24,13.1
2023-06-28 21:07:24,10.6
2023-06-28 21:08:24,10.6
2023-06-28 21:09:24,19.1
2023-06-28 21:10:24,24.2
2023-06-28 21:11:24,16.6
2023-06-28 21:12:24,19.9
2023-06-28 21:13:24,15.8
2023-06-28 21:14:24,23.2
2023-06-28 21:15:24,20.4
2023-06-28 21:16:24,9.2
2023-06-28 21:17:24,16.5
2023-06-28 21:18:24,18.9
2023-06-28 21:19:24,22.9
2023-06-28 21:20:24,17.6
2023-06-28 21:21:24,21.7
2023-06-28 21:22:24,17.7
2023-06-28 21:23:24,16.2
2023-06-28 21:24:24,14.6
2023-06-28 21:25:24,18.7
2023-06-28 21:26:24,12.2
2023-06-28 21:27:24,24.3
2023-06-28 21:28:24,21.8
2023-06-28 21:29:24,17.2
2023-06-28 21:30:24,12.6
2023-06-28 21:31:24,20.1
2023-06-28 21:32:24,14.1
2023-06-28 21:33:24,22.2
2023-06-28 21:34:24,13.9
2023-06-28 21:35:24,26.3
2023-06-28 21:36:24,24.2
2023-06-28 21:37:24,18.2
2023-06-28 21:38:24,5.2
2023-06-28 21:39:24,18.0
2023-06-28 21:40:24,15.7
2023-06-28 21:41:24,21.1
2023-06-28 21:42:24,22.6
2023-06-28 21:43:24,24.8
2023-06-28 21:44:24,21.3
2023-06-28 21:45:24,12.4
2023-06-28 21:46:24,18.0
2023-06-28 21:47:24,25.4
2023-06-28 21:48:24,12.3
2023-06-28 21:49:24,24.4
2023-06-28 21:50:24,19.1
2023-06-28 21:51:24,15.5
2023-06-28 21:52:24,19.4
2023-06-28 21:53:24,0.0
2023-06-28 21:54:24,75.5
2023-06-28 21:55:24,73.3
2023-06-28 21:56:24,73.3
2023-06-28 21:57:24,76.4
2023-06-28 21:58:24,75.6
2023-06-28 21:59:24,76.2
2023-06-28 22:00:24,77.4
2023-06-28 22:01:24,77.8
2023-06-28 22:02:24,76.3
2023-06-28 22:03:24,76.6
2023-06-28 22:04:24,75.7
2023-06-28 22:05:24,76.1
2023-06-28 22:06:24,72.8
2023-06-28 22:07:24,76.6
2023-06-28 22:08:24,77.1
2023-06-28 22:09:24,76.3
2023-06-28 22:10:24,75.6
2023-06-28 22:11:24,75.5
2023-06-28 22:12:24,75.0
2023-06-28 22:13:24,75.4
2023-06-28 22:14:24,75.3
2023-06-28 22:15:24,74.5
2023-06-28 22:16:24,74.6
2023-06-28 22:17:24,75.6
2023-06-28 22:18:24,76.6
2023-06-28 22:19:24,76.5
2023-06-28 22:20:24,74.1
2023-06-28 22:21:24,73.4
2023-06-28 22:22:24,73.5
2023-06-28 22:23:24,76.7
2023-06-28 22:24:24,74.6
2023-06-28 22:25:24,74.6
2023-06-28 22:26:24,77.0
2023-06-28 22:27:24,75.3
2023-06-28 22:28:24,74.9
2023-06-28 22:29:24,75.4
2023-06-28 22:30:24,76.5
2023-06-28 22:31:24,75.0
2023-06-28 22:32:24,77.8
2023-06-28 22:33:24,78.0
2023-06-28 22:34:24,79.3
2023-06-28 22:35:24,76.8
2023-06-28 22:36:24,77.4
2023-06-28 22:37:24,76.3
2023-06-28 22:38:24,78.0
2023-06-28 22:39:24,74.4
2023-06-28 22:40:24,75.7
2023-06-28 22:41:24,76.0
2023-06-28 22:42:24,75.3
2023-06-28 22:43:24,76.3
2023-06-28 22:44:24,75.6
2023-06-28 22:45:24,75.5
2023-06-28 22:46:24,73.2
2023-06-28 22:47:24,76.7
2023-06-28 22:48:24,75.4
2023-06-28 22:49:24,75.2
2023-06-28 22:50:24,75.7
2023-06-28 22:51:24,76.1
2023-06-28 22:52:24,0.0
2023-06-28 22:53:24,80.3
2023-06-28 22:54:24,82.6
2023-06-28 22:55:24,81.8
2023-06-28 22:56:24,84.0
2023-06-28 22:57:24,80.7
2023-06-28 22:58:24,81.9
2023-06-28 22:59:24,80.9
2023-06-28 23:00:24,81.4
2023-06-28 23:01:24,80.6
2023-06-28 23:02:24,81.6
2023-06-28 23:03:24,82.3
2023-06-28 23:04:24,82.1
2023-06-28 23:05:24,82.9
2023-06-28 23:06:24,83.5
2023-06-28 23:07:24,80.9
2023-06-28 23:08:24,83.2
2023-06-28 23:09:24,81.5
2023-06-28 23:10:24,81.2
2023-06-28 23:11:24,80.4
2023-06-28 23:12:24,82.0
2023-06-28 23:13:24,80.1
2023-06-28 23:14:24,83.4
2023-06-28 23:15:24,81.8
2023-06-28 23:16:24,80.3
2023-06-28 23:17:24,79.4
2023-06-28 23:18:24,81.0
2023-06-28 23:19:24,81.4
2023-06-28 23:20:24,83.2
2023-06-28 23:21:24,81.6
2023-06-28 23:22:24,79.4
2023-06-28 23:23:24,81.7
2023-06-28 23:24:24,82.6
2023-06-28 23:25:24,81.6
2023-06-28 23:26:24,81.3
2023-06-28 23:27:24,80.5
2023-06-28 23:28:24,81.5
2023-06-28 23:29:24,80.0
2023-06-28 23:30:24,81.4
2023-06-28 23:31:24,81.2
2023-06-28 23:32:24,80.4
2023-06-28 23:33:24,81.6
2023-06-28 23:34:24,80.4
2023-06-28 23:35:24,82.2
2023-06-28 23:36:24,84.5
2023-06-28 23:37:24,81.8
2023-06-28 23:38:24,82.7
2023-06-28 23:39:24,80.7
2023-06-28 23:40:24,81.1
2023-06-28 23:41:24,81.4
2023-06-28 23:42:24,80.8
2023-06-28 23:43:24,83.0
2023-06-28 23:44:24,82.1
2023-06-28 23:45:24,82.6
2023-06-28 23:46:24,81.6
2023-06-28 23:47:24,81.4
2023-06-28 23:48:24,80.9
2023-06-28 23:49:24,82.2
2023-06-28 23:50:24,82.3
2023-06-28 23:51:24,0.0
2023-06-28 23:52:24,83.6
2023-06-28 23:53:24,84.3
2023-06-28 23:54:24,83.4
2023-06-28 23:55:24,83.0
2023-06-28 23:56:24,82.9
2023-06-28 23:57:24,85.1
2023-06-28 23:58:24,83.1
2023-06-28 23:59:24,83.7
2023-06-29 00:00:24,83.9
2023-06-29 00:01:24,83.9
2023-06-29 00:02:24,83.5
2023-06-29 00:03:24,82.4
2023-06-29 00:04:24,83.7
2023-06-29 00:05:24,84.7
2023-06-29 00:06:24,84.1
2023-06-29 00:07:24,82.7
2023-06-29 00:08:24,82.7
2023-06-29 00:09:24,84.9
2023-06-29 00:10:24,84.2
2023-06-29 00:11:24,82.4
2023-06-29 00:12:24,85.0
2023-06-29 00:13:24,82.7
2023-06-29 00:14:24,81.5
2023-06-29 00:15:24,84.1
2023-06-29 00:16:24,83.3
2023-06-29 00:17:24,83.2
2023-06-29 00:18:24,83.4
2023-06-29 00:19:24,83.0
2023-06-29 00:20:24,83.4
2023-06-29 00:21:24,83.1
2023-06-29 00:22:24,84.0
2023-06-29 00:23:24,82.4
2023-06-29 00:24:24,83.8
2023-06-29 00:25:24,82.3
2023-06-29 00:26:24,82.0
2023-06-29 00:27:24,83.9
2023-06-29 00:28:24,81.8
2023-06-29 00:29:24,82.9
2023-06-29 00:30:24,82.2
2023-06-29 00:31:24,83.5
2023-06-29 00:32:24,84.0
2023-06-29 00:33:24,83.7
2023-06-29 00:34:24,84.2
2023-06-29 00:35:24,85.1
2023-06-29 00:36:24,82.8
2023-06-29 00:37:24,83.7
2023-06-29 00:38:24,82.7
2023-06-29 00:39:24,83.4
2023-06-29 00:40:24,83.3
2023-06-29 00:41:24,84.3
2023-06-29 00:42:24,83.5
2023-06-29 00:43:24,83.8
2023-06-29 00:44:24,83.7
2023-06-29 00:45:24,83.1
2023-06-29 00:46:24,82.4
2023-06-29 00:47:24,83.7
2023-06-29 00:48:24,84.7
2023-06-29 00:49:24,83.1
2023-06-29 00:50:24,0.1
2023-06-29 00:51:24,98.1
2023-06-29 00:52:24,98.1
2023-06-29 00:53:24,98.1
2023-06-29 00:54:24,98.0
2023-06-29 00:55:24,98.1
2023-06-29 00:56:24,98.0
2023-06-29 00:57:24,97.9
2023-06-29 00:58:24,98.0
2023-06-29 00:59:24,98.3
2023-06-29 01:00:24,97.9
2023-06-29 01:01:24,98.3
2023-06-29 01:02:24,98.3
2023-06-29 01:03:24,98.1
2023-06-29 01:04:24,98.0
2023-06-29 01:05:24,98.0
2023-06-29 01:06:24,98.0
2023-06-29 01:07:24,98.3
2023-06-29 01:08:24,97.9
2023-06-29 01:09:24,98.0
2023-06-29 01:10:24,98.1
2023-06-29 01:11:24,98.1
2023-06-29 01:12:24,98.4
2023-06-29 01:13:24,98.0
2023-06-29 01:14:24,97.8
2023-06-29 01:15:24,98.1
2023-06-29 01:16:24,98.1
2023-06-29 01:17:24,98.1
2023-06-29 01:18:24,97.9
2023-06-29 01:19:24,98.0
2023-06-29 01:20:24,98.0
2023-06-29 01:21:24,98.0
2023-06-29 01:22:24,98.0
2023-06-29 01:23:24,97.9
2023-06-29 01:24:24,98.1
2023-06-29 01:25:24,97.8
2023-06-29 01:26:24,98.3
2023-06-29 01:27:24,98.1
2023-06-29 01:28:24,98.1
2023-06-29 01:29:24,98.1
2023-06-29 01:30:24,98.3
2023-06-29 01:31:24,98.1
2023-06-29 01:32:24,97.9
2023-06-29 01:33:24,98.0
2023-06-29 01:34:24,98.1
2023-06-29 01:35:24,98.0
2023-06-29 01:36:24,98.4
2023-06-29 01:37:24,98.1
2023-06-29 01:38:24,98.1
2023-06-29 01:39:24,97.8
2023-06-29 01:40:24,98.4
2023-06-29 01:41:24,98.0
2023-06-29 01:42:24,98.1
2023-06-29 01:43:24,98.3
2023-06-29 01:44:24,98.1
2023-06-29 01:45:24,97.8
2023-06-29 01:46:24,98.0
2023-06-29 01:47:24,98.0
2023-06-29 01:48:24,98.0
2023-06-29 01:49:24,0.1
2023-06-29 01:50:24,8.4
2023-06-29 01:51:24,3.0
2023-06-29 01:52:24,7.9
2023-06-29 01:53:24,20.5
2023-06-29 01:54:24,3.0
2023-06-29 01:55:24,0.0
2023-06-29 01:56:24,11.4
2023-06-29 01:57:24,11.0
2023-06-29 01:58:24,5.4
2023-06-29 01:59:24,3.5
2023-06-29 02:00:24,5.9
2023-06-29 02:01:24,3.5
2023-06-29 02:02:24,6.7
2023-06-29 02:03:24,1.7
2023-06-29 02:04:24,2.4
2023-06-29 02:05:24,9.4
2023-06-29 02:06:24,9.0
2023-06-29 02:07:24,14.1
2023-06-29 02:08:24,3.5
2023-06-29 02:09:24,4.0
2023-06-29 02:10:24,8.2
2023-06-29 02:11:24,11.5
2023-06-29 02:12:24,4.5
2023-06-29 02:13:24,12.1
2023-06-29 02:14:24,3.1
2023-06-29 02:15:24,2.2
2023-06-29 02:16:24,9.1
2023-06-29 02:17:24,7.4
2023-06-29 02:18:24,5.5
2023-06-29 02:19:24,13.5
2023-06-29 02:20:24,10.3
2023-06-29 02:21:24,8.9
2023-06-29 02:22:24,4.6
2023-06-29 02:23:24,10.1
2023-06-29 02:24:24,19.3
2023-06-29 02:25:24,9.4
2023-06-29 02:26:24,5.0
2023-06-29 02:27:24,1.5
2023-06-29 02:28:24,14.4
2023-06-29 02:29:24,3.5
2023-06-29 02:30:24,9.2
2023-06-29 02:31:24,8.0
2023-06-29 02:32:24,4.9
2023-06-29 02:33:24,4.4
2023-06-29 02:34:24,0.0
2023-06-29 02:35:24,12.4
2023-06-29 02:36:24,9.0
2023-06-29 02:37:24,4.2
2023-06-29 02:38:24,13.5
2023-06-29 02:39:24,3.9
2023-06-29 02:40:24,3.0
2023-06-29 02:41:24,10.5
2023-06-29 02:42:24,9.0
2023-06-29 02:43:24,5.6
2023-06-29 02:44:24,7.4
2023-06-29 02:45:24,3.6
2023-06-29 02:46:24,0.0
2023-06-29 02:47:24,8.6
2023-06-29 02:48:24,0.0
2023-06-29 02:49:24,48.6
2023-06-29 02:50:24,43.4
2023-06-29 02:51:24,42.4
2023-06-29 02:52:24,46.6
2023-06-29 02:53:24,44.6
2023-06-29 02:54:24,42.7
2023-06-29 02:55:24,44.1
2023-06-29 02:56:24,41.5
2023-06-29 02:57:24,41.8
2023-06-29 02:58:24,41.9
2023-06-29 02:59:24,47.0
2023-06-29 03:00:24,42.0
2023-06-29 03:01:24,46.3
2023-06-29 03:02:24,45.2
2023-06-29 03:03:24,46.3
2023-06-29 03:04:24,48.1
